departure_date,booking_date,cum_bookings
8/16/2012,6/17/2012,0
8/16/2012,6/18/2012,0
8/16/2012,6/19/2012,0
8/16/2012,6/20/2012,2
8/16/2012,6/21/2012,2
8/16/2012,6/22/2012,2
8/16/2012,6/23/2012,2
8/16/2012,6/24/2012,2
8/16/2012,6/25/2012,2
8/16/2012,6/26/2012,4
8/16/2012,6/27/2012,4
8/16/2012,6/28/2012,5
8/16/2012,6/29/2012,5
8/16/2012,6/30/2012,5
8/16/2012,7/1/2012,8
8/16/2012,7/2/2012,9
8/16/2012,7/3/2012,9
8/16/2012,7/4/2012,9
8/16/2012,7/5/2012,11
8/16/2012,7/6/2012,13
8/16/2012,7/7/2012,13
8/16/2012,7/8/2012,13
8/16/2012,7/9/2012,13
8/16/2012,7/10/2012,16
8/16/2012,7/11/2012,16
8/16/2012,7/12/2012,16
8/16/2012,7/13/2012,20
8/16/2012,7/14/2012,20
8/16/2012,7/15/2012,20
8/16/2012,7/16/2012,25
8/16/2012,7/17/2012,31
8/16/2012,7/18/2012,38
8/16/2012,7/19/2012,38
8/16/2012,7/20/2012,38
8/16/2012,7/21/2012,38
8/16/2012,7/22/2012,38
8/16/2012,7/23/2012,38
8/16/2012,7/24/2012,49
8/16/2012,7/25/2012,56
8/16/2012,7/26/2012,70
8/16/2012,7/27/2012,90
8/16/2012,7/28/2012,93
8/16/2012,7/29/2012,93
8/16/2012,7/30/2012,105
8/16/2012,7/31/2012,107
8/16/2012,8/1/2012,110
8/16/2012,8/2/2012,119
8/16/2012,8/3/2012,122
8/16/2012,8/4/2012,122
8/16/2012,8/5/2012,122
8/16/2012,8/6/2012,126
8/16/2012,8/7/2012,134
8/16/2012,8/8/2012,148
8/16/2012,8/9/2012,165
8/16/2012,8/10/2012,176
8/16/2012,8/11/2012,182
8/16/2012,8/12/2012,184
8/16/2012,8/13/2012,200
8/16/2012,8/14/2012,208
8/16/2012,8/15/2012,231
8/16/2012,8/16/2012,257
8/17/2012,6/18/2012,0
8/17/2012,6/19/2012,0
8/17/2012,6/20/2012,2
8/17/2012,6/21/2012,2
8/17/2012,6/22/2012,2
8/17/2012,6/23/2012,2
8/17/2012,6/24/2012,2
8/17/2012,6/25/2012,2
8/17/2012,6/26/2012,4
8/17/2012,6/27/2012,4
8/17/2012,6/28/2012,4
8/17/2012,6/29/2012,4
8/17/2012,6/30/2012,4
8/17/2012,7/1/2012,4
8/17/2012,7/2/2012,5
8/17/2012,7/3/2012,7
8/17/2012,7/4/2012,7
8/17/2012,7/5/2012,9
8/17/2012,7/6/2012,9
8/17/2012,7/7/2012,9
8/17/2012,7/8/2012,9
8/17/2012,7/9/2012,9
8/17/2012,7/10/2012,9
8/17/2012,7/11/2012,9
8/17/2012,7/12/2012,9
8/17/2012,7/13/2012,9
8/17/2012,7/14/2012,9
8/17/2012,7/15/2012,9
8/17/2012,7/16/2012,14
8/17/2012,7/17/2012,14
8/17/2012,7/18/2012,14
8/17/2012,7/19/2012,14
8/17/2012,7/20/2012,14
8/17/2012,7/21/2012,14
8/17/2012,7/22/2012,14
8/17/2012,7/23/2012,14
8/17/2012,7/24/2012,14
8/17/2012,7/25/2012,14
8/17/2012,7/26/2012,15
8/17/2012,7/27/2012,17
8/17/2012,7/28/2012,20
8/17/2012,7/29/2012,20
8/17/2012,7/30/2012,29
8/17/2012,7/31/2012,32
8/17/2012,8/1/2012,35
8/17/2012,8/2/2012,35
8/17/2012,8/3/2012,38
8/17/2012,8/4/2012,42
8/17/2012,8/5/2012,42
8/17/2012,8/6/2012,46
